UTC,Coordinated Universal Time,Worldwide,UTC
CST,Cuba Standard Time,Caribbean,UTC -5:00
EASST,Easter Island Summer Time,Pacific,UTC -5:00
EAST,Easter Island Standard Time,Pacific,UTC -5:00
ECT,Ecuador Time,South America,UTC -5:00
EST,Eastern Standard Time,North America,UTC -5:00
PET,Peru Time,South America,UTC -5:00
ET,Eastern Time,North America,UTC -5:00 / -4:00
CST,Central Standard Time,North America,UTC -6:00
GALT,Galapagos Time,Pacific,UTC -6:00
MDT,Mountain Daylight Time,North America,UTC -6:00
CT,Central Time,North America,UTC -6:00 / -5:00
MST,Mountain Standard Time,North America,UTC -7:00
PDT,Pacific Daylight Time,North America,UTC -7:00
MT,Mountain Time,North America,UTC -7:00 / -6:00
AKDT,Alaska Daylight Time,North America,UTC -8:00
PST,Pacific Standard Time,North America,UTC -8:00
PST,Pitcairn Standard Time,Pacific,UTC -8:00
PT,Pacific Time,North America,UTC -8:00 / -7:00
AKST,Alaska Standard Time,North America,UTC -9:00
GAMT,Gambier Time,Pacific,UTC -9:00
HADT,Hawaii-Aleutian Daylight Time,North America,UTC -9:00
MART,Marquesas Time,Pacific,UTC -9:30
AZOST,Azores Summer Time,Atlantic,UTC +0:00
EGST,Eastern Greenland Summer Time,North America,UTC +0:00
GMT,Greenwich Mean Time,Europe,UTC +0:00
WET,Western European Time,Europe,UTC +0:00
WT,Western Sahara Standard Time,Africa,UTC +0:00
BST,British Summer Time,Europe,UTC +1:00
CET,Central European Time,Europe,UTC +1:00
IST,Irish Standard Time,Europe,UTC +1:00
WAT,West Africa Time,Africa,UTC +1:00
WEST,Western European Summer Time,Europe,UTC +1:00
WST,Western Sahara Summer Time,Africa,UTC +1:00
AEST,Australian Eastern Standard Time,Australia,UTC +10:00
CHUT,Chuuk Time,Pacific,UTC +10:00
ChST,Chamorro Standard Time,Pacific,UTC +10:00
DDUT,Dumont-d'Urville Time,Antarctica,UTC +10:00
MAGT,Magadan Time,Asia,UTC +10:00
PGT,Papua New Guinea Time,Pacific,UTC +10:00
SAKT,Sakhalin Time,Asia,UTC +10:00
VLAT,Vladivostok Time,Asia,UTC +10:00
YAKST,Yakutsk Summer Time,Asia,UTC +10:00
YAPT,Yap Time,Pacific,UTC +10:00
ACDT,Australian Central Daylight Time,Australia,UTC +10:30
LHST,Lord Howe Standard Time,Australia,UTC +10:30
ACT,Australian Central Time,Australia,UTC +10:30 / +9:30
AEDT,Australian Eastern Daylight Time,Australia,UTC +11:00
BST,Bougainville Standard Time,Pacific,UTC +11:00
KOST,Kosrae Time,Pacific,UTC +11:00
LHDT,Lord Howe Daylight Time,Australia,UTC +11:00
NCT,New Caledonia Time,Pacific,UTC +11:00
PONT,Pohnpei Standard Time,Pacific,UTC +11:00
SBT,Solomon Islands Time,Pacific,UTC +11:00
SRET,Srednekolymsk Time,Asia,UTC +11:00
VLAST,Vladivostok Summer Time,Asia,UTC +11:00
VUT,Vanuatu Time,Pacific,UTC +11:00
AET,Australian Eastern Time,Australia,UTC +11:00 / +10:00
NFT,Norfolk Time,Australia,UTC +11:30
ANAST,Anadyr Summer Time,Asia,UTC +12:00
ANAT,Anadyr Time,Asia,UTC +12:00
FJT,Fiji Time,Pacific,UTC +12:00
GILT,Gilbert Island Time,Pacific,UTC +12:00
MAGST,Magadan Summer Time,Asia,UTC +12:00
MHT,Marshall Islands Time,Pacific,UTC +12:00
NRT,Nauru Time,Pacific,UTC +12:00
NZST,New Zealand Standard Time,Pacific,UTC +12:00
PETST,Kamchatka Summer Time,Asia,UTC +12:00
PETT,Kamchatka Time,Asia,UTC +12:00
TVT,Tuvalu Time,Pacific,UTC +12:00
WAKT,Wake Time,Pacific,UTC +12:00
WFT,Wallis and Futuna Time,Pacific,UTC +12:00
CHAST,Chatham Island Standard Time,Pacific,UTC +12:45
FJST,Fiji Summer Time,Pacific,UTC +13:00
NZDT,New Zealand Daylight Time,Pacific,UTC +13:00
PHOT,Phoenix Island Time,Pacific,UTC +13:00
TKT,Tokelau Time,Pacific,UTC +13:00
TOT,Tonga Time,Pacific,UTC +13:00
WST,West Samoa Time,Pacific,UTC +13:00
CHADT,Chatham Island Daylight Time,Pacific,UTC +13:45
LINT,Line Islands Time,Pacific,UTC +14:00
CAT,Central Africa Time,Africa,UTC +2:00
CEST,Central European Summer Time,Europe,UTC +2:00
EET,Eastern European Time,Europe,UTC +2:00
IST,Israel Standard Time,Asia,UTC +2:00
SAST,South Africa Standard Time,Africa,UTC +2:00
WAST,West Africa Summer Time,Africa,UTC +2:00
ADT,Arabia Daylight Time,Asia,UTC +3:00
AST,Arabia Standard Time,Asia,UTC +3:00
EAT,Eastern Africa Time,Africa,UTC +3:00
EEST,Eastern European Summer Time,Europe,UTC +3:00
FET,Further-Eastern European Time,Europe,UTC +3:00
IDT,Israel Daylight Time,Asia,UTC +3:00
MSK,Moscow Standard Time,Europe,UTC +3:00
SYOT,Syowa Time,Antarctica,UTC +3:00
IRST,Iran Standard Time,Asia,UTC +3:30
AMT,Armenia Time,Asia,UTC +4:00
AZT,Azerbaijan Time,Asia,UTC +4:00
GET,Georgia Standard Time,Asia,UTC +4:00
GST,Gulf Standard Time,Asia,UTC +4:00
KUYT,Kuybyshev Time,Europe,UTC +4:00
MSD,Moscow Daylight Time,Europe,UTC +4:00
MUT,Mauritius Time,Africa,UTC +4:00
RET,Reunion Time,Africa,UTC +4:00
SAMT,Samara Time,Europe,UTC +4:00
SCT,Seychelles Time,Africa,UTC +4:00
AFT,Afghanistan Time,Asia,UTC +4:30
IRDT,Iran Daylight Time,Asia,UTC +4:30
AMST,Armenia Summer Time,Asia,UTC +5:00
AQTT,Aqtobe Time,Asia,UTC +5:00
AZST,Azerbaijan Summer Time,Asia,UTC +5:00
MAWT,Mawson Time,Antarctica,UTC +5:00
MVT,Maldives Time,Asia,UTC +5:00
ORAT,Oral Time,Asia,UTC +5:00
PKT,Pakistan Standard Time,Asia,UTC +5:00
TFT,French Southern and Antarctic Time,Indian Ocean,UTC +5:00
TJT,Tajikistan Time,Asia,UTC +5:00
TMT,Turkmenistan Time,Asia,UTC +5:00
UZT,Uzbekistan Time,Asia,UTC +5:00
YEKT,Yekaterinburg Time,Asia,UTC +5:00
IST,India Standard Time,Asia,UTC +5:30
NPT,Nepal Time,Asia,UTC +5:45
ALMT,Alma-Ata Time,Asia,UTC +6:00
BST,Bangladesh Standard Time,Asia,UTC +6:00
BTT,Bhutan Time,Asia,UTC +6:00
IOT,Indian Chagos Time,Indian Ocean,UTC +6:00
KGT,Kyrgyzstan Time,Asia,UTC +6:00
NOVT,Novosibirsk Time,Asia,UTC +6:00
OMST,Omsk Standard Time,Asia,UTC +6:00
QYZT,Qyzylorda Time,Asia,UTC +6:00
VOST,Vostok Time,Antarctica,UTC +6:00
YEKST,Yekaterinburg Summer Time,Asia,UTC +6:00
CCT,Cocos Islands Time,Indian Ocean,UTC +6:30
MMT,Myanmar Time,Asia,UTC +6:30
CXT,Christmas Island Time,Australia,UTC +7:00
DAVT,Davis Time,Antarctica,UTC +7:00
HOVT,Hovd Time,Asia,UTC +7:00
ICT,Indochina Time,Asia,UTC +7:00
KRAT,Krasnoyarsk Time,Asia,UTC +7:00
NOVST,Novosibirsk Summer Time,Asia,UTC +7:00
OMSST,Omsk Summer Time,Asia,UTC +7:00
WIB,Western Indonesian Time,Asia,UTC +7:00
AWST,Australian Western Standard Time,Australia,UTC +8:00
BNT,Brunei Darussalam Time,Asia,UTC +8:00
CAST,Casey Time,Antarctica,UTC +8:00
CHOT,Choibalsan Time,Asia,UTC +8:00
CST,China Standard Time,Asia,UTC +8:00
HKT,Hong Kong Time,Asia,UTC +8:00
IRKT,Irkutsk Time,Asia,UTC +8:00
KRAST,Krasnoyarsk Summer Time,Asia,UTC +8:00
MYT,Malaysia Time,Asia,UTC +8:00
PHT,Philippine Time,Asia,UTC +8:00
SGT,Singapore Time,Asia,UTC +8:00
ULAT,Ulaanbaatar Time,Asia,UTC +8:00
WITA,Central Indonesian Time,Asia,UTC +8:00
ACWST,Australian Central Western Standard Time,Australia,UTC +8:45
AWDT,Australian Western Daylight Time,Australia,UTC +9:00
IRKST,Irkutsk Summer Time,Asia,UTC +9:00
JST,Japan Standard Time,Asia,UTC +9:00
KST,Korea Standard Time,Asia,UTC +9:00
PWT,Palau Time,Pacific,UTC +9:00
TLT,East Timor Time,Asia,UTC +9:00
WIT,Eastern Indonesian Time,Asia,UTC +9:00
YAKT,Yakutsk Time,Asia,UTC +9:00
